1,18.38,77,19.42,86,17.5
2,16.36,82,16.76,69,16.3
3,16.36,81,17.01,75,15.8
4,14.63,82,14.5,55,15.1
5,13.82,83,13.82,61,14.2
6,14.44,77,13.99,44,13.8
7,15.87,64,15.36,33,15.7
8,17.78,45,15.86,26,19.3
9,18.89,43,17.36,17,25.3
10,19.44,43,18.01,72,25.3
11,20,41,18.53,67,26.7
12,20.18,35,14.58,72,27
13,19.72,48,12.84,20,26.7
14,20.25,43,18.67,80,27.2
15,19.68,42,17.6,78,25.6
16,20.8,39,19.33,48,24.5
17,19.69,42,18.24,74,24.4
18,19.13,42,16.94,83,23.3
19,18.02,43,12.96,87,21.2
20,17.16,63,16.28,100,17.6
21,15.8,66,15.08,100,15.8
22,15.25,70,14.93,100,14.7
23,14.38,71,13.9,100,13.7
0,13.82,74,10.43,89,12.8
1,13.27,76,12.46,68,12
2,12.09,83,11.63,55,11.2
3,11.29,77,7.72,41,10.6
4,10.74,75,7.01,0,9.9
5,10.75,71,9.15,0,9.2
6,11.91,64,10.23,0,9.1
7,13.95,57,12.32,0,12.6
8,16.17,52,14.69,0,16.6
9,18.08,45,15.11,0,20.8
10,18.64,45,17.51,0,24.9
11,19.75,41,18.23,0,28.9
12,19.68,34,17.59,0,32
13,20.62,39,19.12,0,34.4
14,21.18,36,19.54,0,34.2
15,20.31,49,19.22,0,34.1
16,19.69,52,18.36,0,32.3
17,19.44,53,18.76,0,27.7
18,18.27,57,16.96,0,24.2
19,16.91,61,15.53,0,21
20,15.56,63,14.91,0,17.1
21,15.57,61,11.5,0,14.8
22,14.44,69,10.78,0,13.6
23,14.81,69,14.32,0,12.8
0,14.85,65,11.74,0,11.7
1,14.65,63,11.61,0,11
2,13.68,81,13.16,0,10.7
3,13.9,72,12.73,0,10.3
4,13.91,68,11.4,0,9.9
5,13.72,72,11.57,0,9.7
6,15.93,69,15.73,0,10
7,16.98,72,16.94,0,15
8,18.08,68,18.1,0,20.1
9,19.52,63,19.6,0,24.4
10,19.28,53,17.61,0,27.2
11,21.67,48,21.14,0,30.9
12,22.78,44,22.17,0,32.8
13,23.89,41,22.95,0,34.7
14,22.78,38,21.31,0,35.6
15,22.23,36,17.75,0,34
16,23.33,27,20.62,0,31.2
17,22.53,27,20.33,0,29.1
18,21.54,33,16.5,0,26.5
19,19.44,50,18.53,0,22.5
20,18.58,49,14.8,0,18.6
21,17.22,64,17.05,0,16.5
22,16.91,72,14.44,0,15.3
23,16.56,81,14.62,0,14.6
0,16.77,85,15.17,0,14.1
1,17.71,79,18.67,0,14.3
2,17.71,73,18.27,0,13.7
3,17.4,76,18.06,0,14.2
4,16.54,80,14.79,0,14.5
5,16.37,77,14.5,0,14.3
6,18.03,75,18.82,0,14.8
7,19.2,69,19.63,0,18.6
8,20.86,65,21.51,0,22.5
9,21.73,60,22.24,0,25.8
10,23.16,56,24.07,0,28.7
11,23.89,57,24.83,0,31.8
12,23.89,47,23.22,0,33.5
13,24.44,40,23.22,0,35
14,25.56,34,24.6,0,35
15,25.87,35,25.09,10,33.9
16,25.31,36,24.51,65,33.4
17,25.06,41,24.73,69,31.4
18,23.33,53,23.71,69,28.5
19,20.8,70,21.21,62,24
20,20,73,20.68,57,20.6
21,19.68,72,16.75,52,18.9
22,20.25,80,22.19,0,18.2
23,19.82,77,17.82,0,17.9
0,19.69,82,17.81,0,17.8
1,19.93,74,20.98,0,17.3
2,19.13,77,20.12,5,17.7
3,18.27,83,16.51,12,17.5
4,18.14,78,16.3,11,16.7
5,17.41,89,18.92,5,16.4
6,18.89,82,20.16,5,17.1
7,20.31,76,21.65,4,20.5
8,21.67,74,23.36,15,24
9,21.25,68,20.4,14,28
10,22.05,60,21.07,4,30.9
11,25.06,58,26.5,11,33.8
12,25.87,47,26.09,29,36.3
13,26.67,43,27.3,22,36.9
14,25.81,35,25.01,18,35.5
15,27.22,34,26.64,11,35
16,26.98,39,26.3,86,35.1
17,25.93,47,26.48,92,32.9
18,24.44,60,25.87,85,28.4
19,22.53,68,24.33,64,26.3
20,21.36,77,22.87,51,22.4
21,20.95,74,19.56,47,20.4
22,20.24,84,19.63,0,19.4
23,20.22,85,19.61,0,18.7
0,19.69,88,18.61,0,18.4
1,19.38,92,18.92,0,18.1
2,18.76,95,18.69,0,18.2
3,18.44,96,18.65,0,17.7
4,20.28,83,21.31,0,17.3
