13,23.76,20,0,33.5
14,24.44,31,0,34
15,24.44,29,0,33.3
16,24.93,32,0,32.3
17,24.07,31,0,30
18,24.02,29,0,27
19,20.98,43,0,23.5
20,20.43,41,0,19.6
21,19.63,44,0,17.8
22,18.9,49,0,16.2
23,18.52,61,0,14.2
0,18.53,59,0,13.5
1,17.97,50,0,13.1
2,17.78,56,0,12.6
3,18.34,50,0,12
4,18.33,60,0,11.5
5,17.71,55,0,10.9
6,17.47,61,0,12.3
7,18.09,58,0,17.1
8,19.44,57,0,20.4
9,19.58,51,0,23.9
10,20.84,47,0,27.3
11,24.44,47,0,31.1
12,25.56,45,0,32.8
13,26.67,45,0,32.8
14,26.97,46,0,34.3
15,27.61,42,0,34
16,27.73,40,0,33.2
17,27.59,46,0,32.3
18,26.98,48,0,30.3
19,24.75,55,0,27.2
20,23.33,69,0,23.6
21,23.33,75,0,21.8
22,24.2,68,0,21.4
23,24.44,59,0,20.7
0,25,59,0,21.2
1,24.22,58,0,23.1
2,23.58,73,0,22.9
3,23.02,77,45,22.5
4,22.16,80,0,21.6
5,21.91,82,16,21.4
6,22.53,78,21,21.2
7,23.09,78,26,23.4
8,23.39,76,34,26
9,24.2,76,0,28.5
10,25,73,0,29.3
11,26.09,58,0,28.8
12,24.63,54,75,25.4
13,26.84,47,58,22.7
14,20.95,88,90,20.7
15,22.29,88,75,23.3
16,23.35,60,75,25.4
17,22.82,73,75,24.6
18,21.99,73,75,24.6
19,20.3,82,75,22.9
20,20.46,82,0,20.9
21,19.46,82,0,19.8
22,19.46,93,0,18.4
23,18.93,93,0,18.2
0,18.69,93,72,17.8
1,19.76,88,63,17.9
2,18.52,96,42,17.7
3,18.27,95,35,17.7
4,17.78,96,0,17.6
5,17.72,97,0,17.3
6,18.39,89,0,18.2
7,21.18,83,0,20.3
8,23.94,75,0,24.3
9,26.19,67,0,28.6
10,28.7,59,0,33.1
11,29.5,54,0,35.7
12,29.5,47,0,38
13,32.29,41,0,39.5
14,32.84,39,0,40.4
15,32.78,37,0,39.7
16,32.2,34,5,37.7
17,30.25,43,11,34.2
18,30.49,38,18,30.8
19,26.42,48,37,27.5
20,22.71,53,64,24.5
21,20.73,53,70,19.9
22,19.38,55,100,19.3
23,18.58,57,100,18.1
0,16.84,61,94,16.6
1,15.17,65,95,15.1
2,13.82,71,76,13.6
3,13.73,59,70,11.8
4,11.91,74,0,11.5
5,11.05,77,0,11
6,12.29,71,0,11.8
7,13.95,64,0,15.5
8,15.86,59,0,19
9,17.54,51,0,25.7
10,19.75,42,0,27.2
11,19.73,38,0,30.6
12,21.43,38,0,32.6
13,21.11,52,0,33.7
14,21.44,46,0,32.7
15,21.67,47,0,30.1
16,21.36,46,0,28.6
17,20.8,51,0,27.2
18,20.21,49,0,23.4
19,18.02,58,0,19.6
20,16.91,60,0,16.9
21,16.73,62,0,15
22,16.55,64,0,14.7
23,15.5,75,0,13.9
0,14.93,78,0,13.6
1,15.04,85,0,13.1
2,16.05,74,0,13.1
3,16.05,76,0,12.4
4,16.05,79,0,12.1
5,15.81,80,0,11.9
6,16.73,76,0,13.1
7,16.83,73,0,17.9
8,19.14,69,0,21.3
9,20.56,67,0,26.4
10,22.22,64,0,27.5
11,23.7,59,49,29.5
12,24.2,56,45,31.8
13,25.06,54,35,34.3
14,26.48,49,0,35.6
15,26.98,48,0,34.9
16,27.6,35,0,33.6
17,26.73,49,0,31.6
18,25.25,57,0,29
19,22.78,70,0,25.7
20,21.91,80,0,22.6
21,21.26,84,0,20.4
22,21.05,87,0,20.2
23,20.44,92,0,19.9
0,19.79,95,0,18.8
1,20.93,85,0,18.2
2,20.74,85,0,17.6
3,20.2,78,2,16.7
4,19.82,84,4,16.4
5,19.82,82,2,16.4
6,20.8,87,1,17.5
7,22.22,79,1,21.6
8,23.89,72,1,24.7
9,24.76,67,46,28.7
10,26.18,62,98,27.5
11,27.34,57,99,32
12,27.61,58,99,34
13,28.64,51,99,33.1
14,28.08,56,96,31.9
15,26.74,60,99,29.6
16,24.44,74,100,29.1
17,25.31,64,100,26.4
18,20.31,88,100,24.1
19,20.56,93,100,22.7
20,20.25,95,100,21.8
21,19.69,96,100,21.1
22,20.19,87,100,20.2
23,19.35,88,100,18.8
0,18.02,97,100,18.8
